time, name, version, hash_source, binaries, binaries_size
20170101032652,complete-clojure,0.2.3+git20140121-1,1bba5b74f27c0ee4fb7cbaff75997aba,"libcomplete-clojure",10414
20170101032652,cookiecutter,1.4.0-3,59cd192568f91fdf62555d1117b1d80f,"cookiecutter python-cookiecutter python3-cookiecutter python-cookiecutter-doc",160526
20170101032652,core-cache-clojure,0.6.2-2,5b1f29b391ed07bcc085d465e1700594,"libcore-cache-clojure",19130
20170101032652,cowsay,3.03+dfsg1-16,ad8378d327905b429944dcf2d9f6276a,"cowsay cowsay-off",27066
20170101032652,cupt,2.9.8,c563ff63a672fae4035d7961e9130b41,"cupt-dbg libcupt4-1 libcupt-common libcupt4-dev libcupt4-doc cupt libcupt4-1-downloadmethod-curl libcupt4-1-downloadmethod-wget",12549676
20170101032652,daligner,1.0+20160927-1,e0b51ee9261bfeaee5b175effd6c9502,"daligner",161684
20170101032652,data-xml-clojure,0.0.7-3,e8abb33e0475618c8cda0f91546080b5,"libdata-xml-clojure",17186
20170101032652,dazzdb,1.0+20160930-1,6483775c77983ed775d991c685c4f649,"dazzdb",125476
20170101032652,ddcci-driver-linux,0.2-2,9cccdcc8e1de264db9cc832491d6d76a,"ddcci-dkms",17288
20170101032652,debdelta,0.55,e49c3d1b95e958c4f12bee527902cf41,"debdelta debdelta-doc",234208
20170101032652,debian-keyring,2016.09.04,91ee09fd4a860fdbd145c99fe29e6ab6,"debian-keyring",31625448
20170101032652,dgit,2.13,2bb9e3fd437b902e364b7cc4be7f2fa5,"dgit dgit-infrastructure",165132
20170101032652,dictem,1.0.4-3,20c6c0296fb7d6561e97751df9360770,"dictem",26904
20170101032652,diffoscope,63,6b5dff6f17f0c1908af05a9691c2b2db,"diffoscope trydiffoscope",69286
20170101032652,discover,2.1.2-7,af78b63cc8db31b11d7e25958423611e,"discover libdiscover2 libdiscover-dev",270280
20170101032652,django-sitetree,1.6.0-1,ab89a2923a8f4b6a4fa4ef7e4ed4e035,"python-django-sitetree python3-django-sitetree python-django-sitetree-doc",150064
20170101032652,dnscrypt-proxy,1.7.0+dfsg-1,d96790064399b8ba66555d3dab171e62,"dnscrypt-proxy dnscrypt-proxy-plugins",264118
20170101032652,dnssec-trigger,0.13~svn685-7,4cb79df8e53f2e0afff0448ac93031c8,"dnssec-trigger",110204
20170101032652,dnstap-ldns,0.2.0-1,a73819cd167a44c26eca1f86a464c343,"dnstap-ldns",14028
20170101032652,drbd-utils,8.9.9-1,ab9242a2e7019c9f36c203892fa92e8d,"drbd-utils drbd8-utils",506546
20170101032652,dub,1.0.0-2,edde369b48272bc6d71df1659ecb33f1,"dub",1132108
20170101032652,dulwich,0.15.0-1,1cbf8071b679f585ce07e5afc7927e05,"python-dulwich python-dulwich-dbg pypy-dulwich python3-dulwich python3-dulwich-dbg",759502
20170101032652,dvidvi,1.0-8etch2.1,b067bcac16bcb86d5b4c4ffbe18df6ea,"dvidvi",16784
20170101032652,eccodes,2.0.2-4,9d39fb57ec79a6de581d55bd8bfe7f18,"libeccodes0 libeccodes-data libeccodes-dev libeccodes-tools python3-eccodes libeccodes-doc",2866502
20170101032652,eigen3,3.3.0-1,e7bc0a9502da855cbc38f8c636863ed2,"libeigen3-dev libeigen3-doc",8521452
20170101032652,elfutils,0.166-2.2,41472c9d911beec5a6cefac3e48a1aab,"elfutils libelf1 libelf-dev libdw-dev libdw1 libasm1 libasm-dev",977902
20170101032652,email2trac,2.9.0-1,f64b1fa5e22f134ff327d57f6c06bdc5,"trac-email2trac",43020
20170101032652,enjarify,1:1.0.2-1,d183ef9e81e95a11eb3aeec345a5225b,"enjarify",80966
20170101032652,erlang-cherly,0.12.8+dfsg-5,91166f2b2ce357f7c6fb69a5106a9e9f,"erlang-cherly",25438
20170101032652,espeak-ng,1.49.0+dfsg-2,56cb61cde67393b5a3a85b048c4127f6,"espeak-ng espeak-ng-espeak espeak-ng-data espeak-ng-data-udeb libespeak-ng1 libespeak-ng-libespeak1 libespeak-ng-dev libespeak-ng-libespeak-dev",3107826
20170101032652,esys-particle,2.3.4+dfsg1-3,566f4c1fbecf57a016d3dcae98518b5d,"esys-particle",285801886
20170101032652,exim4,4.88~RC6-2,5ab31f0bfe1db6d297788a3bb3a7d454,"exim4-base exim4-config exim4-daemon-light exim4 exim4-daemon-heavy eximon4 exim4-dbg exim4-daemon-light-dbg exim4-daemon-heavy-dbg exim4-dev",7339380
20170101032652,eximdoc4,4.88~RC6-1,7073d3b4ed29c225c3d238df6398929b,"exim4-doc-info exim4-doc-html",1073436
20170101032652,f2fs-tools,1.7.0-1,8dddfa8e259b1fac6ba2a60bda526a91,"f2fs-tools f2fs-tools-dbg libf2fs0 libf2fs-dev",385104
20170101032652,fabric,1.12.0-1,ceb4acc353701d201fbb23e73ff764f9,"fabric",201102
20170101032652,facedetect,0.0.+20150428-1,0a107f2655f49b3a302c779bb66e15b0,"facedetect",7552
20170101032652,fcitx,1:4.2.9.1-5,83c8af6ce9ae6834c1481985d63d85fa,"fcitx fcitx-bin fcitx-data fcitx-libs libfcitx-config4 libfcitx-core0 libfcitx-utils0 fcitx-libs-gclient libfcitx-gclient0 fcitx-libs-qt libfcitx-qt0 fcitx-libs-dev gir1.2-fcitx-1.0 fcitx-dbg fcitx-ui-classic fcitx-frontend-all fcitx-frontend-gtk2 fcitx-frontend-gtk3 fcitx-frontend-qt4 fcitx-pinyin fcitx-qw fcitx-table fcitx-table-all fcitx-table-bingchan fcitx-table-cangjie fcitx-table-dianbaoma fcitx-table-erbi fcitx-table-wanfeng fcitx-table-wbpy fcitx-table-wubi fcitx-table-ziranma fcitx-modules fcitx-module-dbus fcitx-module-x11 fcitx-module-lua fcitx-module-kimpanel fcitx-module-quickphrase-editor fcitx-tools",13805324
20170101032652,fcitx-qimpanel,2.1.2-1,3e7b456f98e956dbdcdd68c4e79949da,"fcitx-ui-qimpanel",160812
20170101032652,ferret-vis,7.0-1,24744b2cb4408552c463e5b03d2f817a,"ferret-vis ferret-datasets",48394442
20170101032652,file-roller,3.22.2-1,17749b7bd5cfd6ad5005b243805a5b67,"file-roller",1106818
20170101032652,flask,0.11.1-1,4c768ebaea800e3244897f6fadf864d3,"python-flask python3-flask python-flask-doc",609682
20170101032652,flufl.testing,0.5-1,e2c554eb2d74f200920494411eedfdc2,"python3-flufl.testing",8632
20170101032652,flycheck,30-1,824405dff3a0ede0fd7e4f21cb19dea9,"elpa-flycheck flycheck-doc",1213060
20170101032652,fonts-sawarabi-mincho,20161115b-1,7a80a2a8ba416d0b918064302026cb44,"fonts-sawarabi-mincho",496488
20170101032652,foolscap,0.12.0-1,2c224681fedfe547cbc298fe9a889ae8,"python-foolscap",382302
20170101032652,forensics-all,1.3,d09bd39ba9585f6c83ed444465bebd36,"forensics-all",3264
20170101032652,forensics-extra,1.2,7d1f1c28cc5985985f3a2646766f0e75,"forensics-extra forensics-extra-gui forensics-full",8438
